X=94.0;Y=289.0
X=188.0;Y=158.0
X=64.0;Y=118.0
X=357.0;Y=57.0
X=356.0;Y=78.0
X=356.0;Y=98.0
X=356.0;Y=118.0
X=355.0;Y=141.0
X=78.0;Y=222.0
X=265.0;Y=59.0
X=264.0;Y=84.0
X=264.0;Y=102.0
X=264.0;Y=119.0
X=264.0;Y=142.0
X=263.0;Y=165.0
X=360.0;Y=216.0
X=307.0;Y=232.0
X=307.0;Y=252.0
X=309.0;Y=273.0
X=223.0;Y=285.0
X=224.0;Y=322.0
X=233.0;Y=344.0
X=262.0;Y=363.0
X=313.0;Y=367.0
X=353.0;Y=361.0
X=369.0;Y=347.0
X=378.0;Y=331.0
X=389.0;Y=305.0
X=393.0;Y=279.0
X=320.0;Y=273.0
X=327.0;Y=259.0
X=360.0;Y=216.0
X=210.0;Y=224.0
X=78.0;Y=222.0
X=257.0;Y=203.0
X=140.0;Y=80.0
